file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky
6034,SRC2975,33:52.0,2459516.565,59516.06519,3.198247971,-55.24498902,248.118291,750.9298249,Prompt5,B,80,20.74666454,2.393459131,40.21834267,324.3742344,0,50:53.0,0
6034,SRC2976,33:52.0,2459516.565,59516.06519,3.201702438,-55.24404573,429.2802349,747.0967616,Prompt5,B,80,17.95674484,0.523366985,525.281436,325.3449434,0,50:53.0,0
6034,SRC2977,33:52.0,2459516.565,59516.06519,3.204017244,-55.24359376,552.082408,747.6911843,Prompt5,B,80,18.76659301,0.906967601,249.1453475,325.2882355,0,50:53.0,0
6034,SRC2978,33:52.0,2459516.565,59516.06519,3.204339539,-55.2434787,570.6309626,748.3688043,Prompt5,B,80,17.9971145,0.539315072,506.1091498,325.5975838,0,50:53.0,0
6034,SRC2979,33:52.0,2459516.565,59516.06519,3.205000921,-55.24316539,602.6510142,746.7972673,Prompt5,B,80,16.39792254,0.15052753,2207.602976,328.2962017,0,50:53.0,0
6034,SRC2980,33:52.0,2459516.565,59516.06519,3.203529024,-55.24381261,525.32553,748.2959916,Prompt5,B,80,16.92917533,0.234879044,1353.380313,326.8602783,0,50:53.0,0
6034,SRC2981,33:52.0,2459516.565,59516.06519,3.204333177,-55.24348897,570.6309626,748.3688043,Prompt5,B,80,17.9971145,0.539315072,506.1091498,325.5975838,0,50:53.0,0
6034,SRC2982,33:52.0,2459516.565,59516.06519,3.206340748,-55.24408176,672.671645,754.5316135,Prompt5,B,80,16.82521761,0.215761653,1489.371177,327.4308508,0,50:53.0,0
6034,SRC2983,33:52.0,2459516.565,59516.06519,3.205247287,-55.24506405,615.2988375,757.8800123,Prompt5,B,80,18.7103578,0.875240477,262.3897509,325.1578511,0,50:53.0,0
6034,SRC2984,33:52.0,2459516.565,59516.06519,3.203419692,-55.245847,517.9715962,756.0131024,Prompt5,B,80,,,-155.2816255,324.7631119,0,50:53.0,0
6034,SRC2985,33:52.0,2459516.565,59516.06519,3.207840142,-55.24467514,750.445742,761.4229901,Prompt5,B,80,19.21959206,1.184938734,164.1546402,324.7550635,0,50:53.0,0
6034,SRC2986,33:52.0,2459516.565,59516.06519,3.209872955,-55.24443512,857.5444079,762.079708,Prompt5,B,80,16.79685611,0.210276411,1528.788973,326.6988395,0,50:53.0,0
6034,SRC2987,33:52.0,2459516.565,59516.06519,3.20449034,-55.2464627,575.5359984,767.3190419,Prompt5,B,80,18.57767534,0.803874698,296.4966901,325.187365,0,50:53.0,0
6034,SRC2988,33:52.0,2459516.565,59516.06519,3.206107741,-55.24647043,661.7551997,769.9644169,Prompt5,B,80,,,-45.28499599,324.6971235,0,50:53.0,0
6034,SRC2989,33:52.0,2459516.565,59516.06519,3.203668668,-55.2469468,532.1089965,767.9491093,Prompt5,B,80,18.04547731,0.559023543,484.0598502,325.9839069,0,50:53.0,0
6034,SRC2990,33:52.0,2459516.565,59516.06519,3.207502806,-55.24590988,733.3483783,767.4647294,Prompt5,B,80,16.89720449,0.228583319,1393.824806,326.6230601,0,50:53.0,0
6034,SRC2991,33:52.0,2459516.565,59516.06519,3.207988466,-55.24612614,757.0112741,768.4067925,Prompt5,B,80,18.62217101,0.826970369,284.5912761,324.9592785,0,50:53.0,0
6034,SRC2992,33:52.0,2459516.565,59516.06519,3.20878611,-55.24588623,802.21516,771.1278754,Prompt5,B,80,18.89327162,0.97939863,221.7079868,324.7298838,0,50:53.0,0
6034,SRC2993,33:52.0,2459516.565,59516.06519,3.202909488,-55.24725285,491.9544972,769.1126853,Prompt5,B,80,19.54010905,1.408676743,122.1930113,325.0227124,0,50:53.0,0
6034,SRC2994,33:52.0,2459516.565,59516.06519,3.200078895,-55.24923456,345.1259748,776.7139531,Prompt5,B,80,19.387126,1.2985899,140.6823407,324.556051,0,50:53.0,0
6034,SRC2995,33:52.0,2459516.565,59516.06519,3.203227334,-55.24815732,508.8798073,774.6555227,Prompt5,B,80,16.70544427,0.19502068,1663.076705,327.2325028,0,50:53.0,0
6034,SRC2996,33:52.0,2459516.565,59516.06519,3.203436329,-55.24826647,518.8456817,776.635473,Prompt5,B,80,20.06814886,1.81578547,75.13295026,324.945013,0,50:53.0,0
6034,SRC2997,33:52.0,2459516.565,59516.06519,3.204251646,-55.248663,562.140446,779.3445573,Prompt5,B,80,17.16805204,0.285267971,1086.09839,326.3622627,0,50:53.0,0
6034,SRC2998,33:52.0,2459516.565,59516.06519,3.207998297,-55.24852803,758.5186871,781.3671593,Prompt5,B,80,19.14544763,1.136218393,175.7563128,324.7370129,0,50:53.0,0
6034,SRC2999,33:52.0,2459516.565,59516.06519,3.20267856,-55.24975994,479.7263872,783.5228664,Prompt5,B,80,15.59319321,0.075079323,4632.470921,331.6737659,0,50:53.0,0
6034,SRC3000,33:52.0,2459516.565,59516.06519,3.204051253,-55.24988865,551.6730112,786.3521896,Prompt5,B,80,16.57584956,0.174814525,1873.916193,327.3672861,0,50:53.0,0
6034,SRC3001,33:52.0,2459516.565,59516.06519,3.202006338,-55.25109478,444.1896139,789.7232638,Prompt5,B,80,18.5595558,0.794404015,301.4863593,325.1697432,0,50:53.0,0
6034,SRC3002,33:52.0,2459516.565,59516.06519,3.203746634,-55.2509321,535.6981259,792.2973893,Prompt5,B,80,16.6948414,0.19333779,1679.397209,327.3309419,0,50:53.0,0
6034,SRC3003,33:52.0,2459516.565,59516.06519,3.205853079,-55.25046925,647.1278312,789.756002,Prompt5,B,80,18.59423003,0.812313165,292.0101686,325.0439299,0,50:53.0,0
6034,SRC3004,33:52.0,2459516.565,59516.06519,3.206872365,-55.25034463,699.3645631,793.6903327,Prompt5,B,80,16.96388401,0.241502716,1310.799853,326.534864,0,50:53.0,0
6034,SRC3005,33:52.0,2459516.565,59516.06519,3.206391732,-55.2507514,674.3577077,795.3221853,Prompt5,B,80,17.42965042,0.351263367,853.5516788,326.0494175,0,50:53.0,0
6034,SRC3006,33:52.0,2459516.565,59516.06519,3.203892909,-55.25250068,542.9381659,801.9796285,Prompt5,B,80,16.94670633,0.238145656,1331.703236,326.6067552,0,50:53.0,0
6034,SRC3007,33:52.0,2459516.565,59516.06519,3.204354801,-55.25267122,566.9175898,804.9342715,Prompt5,B,80,,,-249.6267007,324.65787,0,50:53.0,0
6034,SRC3008,33:52.0,2459516.565,59516.06519,3.203995334,-55.25277501,552.4645749,806.1040102,Prompt5,B,80,17.61899716,0.406826391,716.9537182,325.8958793,0,50:53.0,0
6034,SRC3009,33:52.0,2459516.565,59516.06519,3.200157206,-55.25487948,346.6384214,811.0662485,Prompt5,B,80,15.86753178,0.095240171,3598.13352,329.8833413,0,50:53.0,0
6034,SRC3010,33:52.0,2459516.565,59516.06519,3.202372727,-55.25449236,462.9184618,812.0863949,Prompt5,B,80,16.44940164,0.157094873,2105.374375,327.7666529,0,50:53.0,0
6034,SRC3011,33:52.0,2459516.565,59516.06519,3.202759584,-55.25478725,482.8989035,814.195157,Prompt5,B,80,18.23419445,0.638155648,406.8292827,325.4461504,0,50:53.0,0
6034,SRC3012,33:52.0,2459516.565,59516.06519,3.204821486,-55.25406391,591.2904097,813.0815304,Prompt5,B,80,16.80545876,0.211880553,1516.72373,326.8423241,0,50:53.0,0
6034,SRC3013,33:52.0,2459516.565,59516.06519,3.205882193,-55.25406644,647.8574445,815.3942383,Prompt5,B,80,19.75119253,1.565386837,100.6034733,324.7673619,0,50:53.0,0
6034,SRC3014,33:52.0,2459516.565,59516.06519,3.2020299,-55.25507501,444.8565931,815.3904342,Prompt5,B,80,17.07160707,0.263754151,1186.99027,326.3926199,0,50:53.0,0
6034,SRC3015,33:52.0,2459516.565,59516.06519,3.206203469,-55.25461801,663.7892229,818.5881853,Prompt5,B,80,17.19626962,0.291731315,1058.235039,326.2066331,0,50:53.0,0
6034,SRC3016,33:52.0,2459516.565,59516.06519,3.207931888,-55.25407551,754.2871562,818.226497,Prompt5,B,80,16.19789114,0.126681876,2654.19931,328.478082,0,50:53.0,0
6034,SRC3017,33:52.0,2459516.565,59516.06519,3.211957205,-55.2540025,965.0682491,824.5608047,Prompt5,B,80,18.60058187,0.815114366,290.3068192,324.7326458,0,50:53.0,0
6034,SRC3018,33:52.0,2459516.565,59516.06519,3.195230924,-55.25832523,87.50752142,824.8127076,Prompt5,B,80,17.71785608,0.438071348,654.5571233,325.330095,0,50:53.0,0
6034,SRC3019,33:52.0,2459516.565,59516.06519,3.205056847,-55.25612272,602.973525,826.6047288,Prompt5,B,80,18.71989965,0.880338253,260.0938764,325.053724,0,50:53.0,0
6034,SRC3020,33:52.0,2459516.565,59516.06519,3.19828238,-55.25770794,247.7275019,825.3390235,Prompt5,B,80,16.94462837,0.237587478,1334.25438,326.3784836,0,50:53.0,0
6034,SRC3021,33:52.0,2459516.565,59516.06519,3.204238943,-55.25682893,560.3226451,829.5298831,Prompt5,B,80,20.61597121,2.27925035,45.36297236,324.8073894,0,50:53.0,0
6034,SRC3022,33:52.0,2459516.565,59516.06519,3.205554814,-55.25624108,629.5416585,827.9317919,Prompt5,B,80,17.01931576,0.252708651,1245.557219,326.4232414,0,50:53.0,0
6034,SRC3023,33:52.0,2459516.565,59516.06519,3.201548387,-55.25788164,419.0909859,831.5245837,Prompt5,B,80,16.17883027,0.124614325,2701.20707,328.5207023,0,50:53.0,0
6034,SRC3024,33:52.0,2459516.565,59516.06519,3.2046558,-55.25897503,581.914734,843.1862018,Prompt5,B,80,17.42613033,0.350127598,856.3234838,325.8709041,0,50:53.0,0
6034,SRC3025,33:52.0,2459516.565,59516.06519,3.203838502,-55.25960455,538.8318866,846.2079609,Prompt5,B,80,18.20379156,0.624298064,418.3823592,325.1375295,0,50:53.0,0
6034,SRC3026,33:52.0,2459516.565,59516.06519,3.208287276,-55.25834004,772.2682746,844.8578531,Prompt5,B,80,16.84197836,0.218317781,1466.555968,326.6317425,0,50:53.0,0
6034,SRC3027,33:52.0,2459516.565,59516.06519,3.200291351,-55.26148053,353.0439479,852.759769,Prompt5,B,80,20.44843972,2.132801336,52.93148747,324.496962,0,50:53.0,0
6034,SRC3028,33:52.0,2459516.565,59516.06519,3.200806991,-55.26128318,379.7504116,851.2699123,Prompt5,B,80,17.03718531,0.256324824,1225.225035,326.2535732,0,50:53.0,0
